Dataset,mbert_UnkNum,mbert_UnkRatio,mbert_Fertility,xlm_roberta_UnkNum,xlm_roberta_UnkRatio,xlm_roberta_Fertility,bert_UnkNum,bert_UnkRatio,bert_Fertility,roberta_UnkNum,roberta_UnkRatio,roberta_Fertility,chinese_bert_UnkNum,chinese_bert_UnkRatio,chinese_bert_Fertility,chinese_roberta_UnkNum,chinese_roberta_UnkRatio,chinese_roberta_Fertility,BETO_UnkNum,BETO_UnkRatio,BETO_Fertility,spanish_roberta_UnkNum,spanish_roberta_UnkRatio,spanish_roberta_Fertility,french_bert_UnkNum,french_bert_UnkRatio,french_bert_Fertility,french_roberta_UnkNum,french_roberta_UnkRatio,french_roberta_Fertility,hindi_bert_UnkNum,hindi_bert_UnkRatio,hindi_bert_Fertility,hindi_roberta_UnkNum,hindi_roberta_UnkRatio,hindi_roberta_Fertility
sst,0,0.0,1.2229027293570778,0,0.0,1.2941361223656522,0.0,0.0,1.1237476051383524,0.0,0.0,1.1326674832752286,,,,,,,,,,,,,,,,,,,,,,,,
agnews,0,0.0,1.1779608330742928,0,0.0,1.339161142477102,0.0,0.0,1.1324576559122683,0.0,0.0,1.1518567783071039,,,,,,,,,,,,,,,,,,,,,,,,
multirc,1831,0.0011380630179864924,1.1365095203170217,0,0.0,1.3250275745222786,0.0,0.0,1.089037279617027,0.0,0.0,1.0900514250626823,,,,,,,,,,,,,,,,,,,,,,,,
ChnSentiCorp,343,0.0027114624505928855,1.0436376785999613,5,5.472674934054267e-05,0.7481477743858852,,,,,,,813.0,0.006437309473850904,1.0419137001623062,307.0,0.0024272420363532863,1.043477895232569,,,,,,,,,,,,,,,,,,
csl,2172,0.002830151801420288,1.1224303280984207,446,0.0007950570979346342,0.8180585323573026,,,,,,,15740.0,0.02082671747644755,1.1051984539957607,2306.0,0.0029908898480949615,1.1276750678809069,,,,,,,,,,,,,,,,,,
ant,8,0.00012055818439374303,1.019101758350399,1,1.8259837487446362e-05,0.814437539721771,,,,,,,4.0,6.02854516133894e-05,1.018978179507097,4.0,6.02854516133894e-05,1.018978179507097,,,,,,,,,,,,,,,,,,
spanish_csl,11,0.00013587460009634744,1.3796274717197612,2,2.5366224871583486e-05,1.3417651171545868,,,,,,,,,,,,,47.0,0.0006554267944051653,1.213836252487406,0.0,0.0,1.2018249941736434,,,,,,,,,,,,
spanish_paws,124,0.002114200951390428,1.3605267743782519,0,0.0,1.470561876073589,,,,,,,,,,,,,426.0,0.0070561343646994516,1.4033956533645349,0.0,0.0,1.4286141054046653,,,,,,,,,,,,
spanish_xnli,13,0.00014870398755462011,1.3679325724780271,0,0.0,1.413403515676243,,,,,,,,,,,,,118.0,0.001491537421157079,1.2316837203200839,0.0,0.0,1.2387019546110456,,,,,,,,,,,,
french_csl,426,0.004942568743473721,1.4667618452752744,1,1.1721955222131052e-05,1.4510573748550013,,,,,,,,,,,,,,,,,,,32.0,0.00039434606331718977,1.3767645221736415,0.0,0.0,1.313375568840903,,,,,,
french_paws,117,0.0018921934889136868,1.4257223153535155,0,0.0,1.5817966669953654,,,,,,,,,,,,,,,,,,,90.0,0.0013413416397156355,1.5554925549748546,0.0,0.0,1.3651513657430234,,,,,,
french_xnli,297,0.0012483240094317814,1.4911635576086317,0,0.0,1.5598201959001001,,,,,,,,,,,,,,,,,,,36.0,0.00015694070257121185,1.4353313747685381,0.0,0.0,1.3557281477167888,,,,,,
hindi_xnli,24,8.266170696424881e-05,1.7489175328483548,0,0.0,1.4287318600965797,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.5055651913502452,0.0,0.0,3.621136496924171
hindi_bbc_nli,72,0.0015432098765432098,2.129390018484288,0,0.0,1.676524953789279,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.569932224276032,0.0,0.0,3.836722119531731
hindi_bbc_topic,72,0.0010683760683760685,1.8441835645677696,0,0.0,1.4674493062966916,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,1.5723941657773035,0.0,0.0,3.55994308075418
